****** Process <22776.228.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                       CALLS        %       TIME  [uS / CALLS]
--------                                                       -----  -------       ----  [----------]
inet_gethost_native:wait_reply/2                                   4     0.00         41  [     10.25]
code:load_module/5                                                13     0.00         44  [      3.38]
error_handler:undefined_function/3                                13     0.00         46  [      3.54]
erts_internal:port_control/3                                       4     0.00         48  [     12.00]
erlang:prepare_loading_1/2                                        13     0.00         55  [      4.23]
proc_lib:init_ack/2                                                1     0.00         62  [     62.00]
'Elixir.Inspect.Algebra':format/3                                150     0.00         63  [      0.42]
gen_server:loop/7                                                  5     0.00         68  [     13.60]
io:execute_request/3                                               3     0.00         76  [     25.33]
erlang:monitor/3                                                   8     0.00         79  [      9.88]
gen:do_call/4                                                      5     0.00         86  [     17.20]
'Elixir.Inspect.Algebra':'fits?'/4                               422     0.00        133  [      0.32]
erlang:demonitor/2                                                34     0.00        185  [      5.44]
erlang:monitor/2                                                  30     0.00        224  [      7.47]
code_server:call/1                                                26     0.00        303  [     11.65]
erts_internal:prepare_loading/2                                   13     0.01      11841  [    910.85]
'Elixir.Stream':'-zip_with/2-fun-1-'/4                      14400002     0.80    1196021  [      0.08]
'Elixir.GridSearch.Accumulator':min/3                       14400000     0.81    1206396  [      0.08]
'Elixir.Enum':reduce/3                                      14400008     0.91    1350522  [      0.09]
'Elixir.GridSearch.Accumulator':accumulate/3                14400000     0.96    1421456  [      0.10]
'Elixir.Enum':reduce_range/5                                 7200000     1.34    1995147  [      0.28]
'Elixir.Enum':reverse/1                                     14400000     1.51    2239449  [      0.16]
'Elixir.Enum':zip/1                                         14400002     1.59    2366484  [      0.16]
'Elixir.Stream':zip_with/2                                  14400002     1.69    2510964  [      0.17]
lists:all/2                                                 14400002     1.73    2571872  [      0.18]
'Elixir.Enum':'-zip_reduce/3-fun-0-'/1                      43200006     2.16    3207443  [      0.07]
'Elixir.Enum':zip_reduce/3                                  14400002     2.46    3663796  [      0.25]
erlang:list_to_tuple/1                                      43200006     2.53    3759516  [      0.09]
'Elixir.GridSearch':'-search/2-fun-0-'/3                    14400000     3.16    4699583  [      0.33]
'Elixir.GridSearch.Params':'-next/1-fun-0-'/2               43200000     3.30    4910731  [      0.11]
'Elixir.GridSearch.Params':next/1                           14400000     3.42    5083845  [      0.35]
'Elixir.ObjectiveFun':griewank_fun/1                        14400000     3.94    5857693  [      0.41]
'Elixir.Enum':'-zip_reduce/3-fun-1-'/3                      43200006     4.11    6120549  [      0.14]
'Elixir.Enum':'-zip/1-fun-0-'/2                             43200006     4.17    6202106  [      0.14]
erlang:is_list/1                                            57600006     4.35    6471982  [      0.11]
'Elixir.Enum':'-reduce/3-lists^foldl/2-0-'/3                57600024     4.91    7299777  [      0.13]
lists:all_1/2                                               57600006     5.00    7446197  [      0.13]
lists:reverse/2                                            115200022     9.14   13601470  [      0.12]
'Elixir.Stream':zip_list/4                                  57600008     9.60   14289005  [      0.25]
lists:reverse/1                                            100800024     9.80   14584731  [      0.14]
'Elixir.Stream':zip_list_heads_tails/3                     230400026    16.61   24710555  [      0.11]
--------------------------------------------------------  ----------  -------  ---------  [----------]
Total:                                                    1072802402  100.00%  148781837  [      0.14]
Stopping Source
Completion time: 152798 ms
