****** Process <22192.237.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                      CALLS        %       TIME  [uS / CALLS]
--------                                                      -----  -------       ----  [----------]
inet_parse:visible_string/1                                      18     0.00          1  [      0.06]
prim_inet:setopts/2                                               2     0.00          1  [      0.50]
prim_inet:is_sockopt_val/2                                        2     0.00          1  [      0.50]
prim_inet:enc_value_2/2                                           3     0.00          1  [      0.33]
prim_inet:enc_opt_val/2                                           4     0.00          1  [      0.25]
prim_inet:enc_opt_val/4                                           2     0.00          1  [      0.50]
prim_inet:ctl_cmd/3                                               4     0.00          1  [      0.25]
'Elixir.GridSearchWorker':transform_params/1                      2     0.00          1  [      0.50]
'Elixir.Inspect.Opts':default_inspect_fun/0                       1     0.00          1  [      1.00]
'Elixir.Inspect.Opts':new/1                                       1     0.00          1  [      1.00]
inet:getaddr_tm/3                                                 2     0.00          1  [      0.50]
inet:udp_options/2                                                1     0.00          1  [      1.00]
inet:udp_opt/3                                                    4     0.00          1  [      0.25]
inet:gen_udp_module/1                                             1     0.00          1  [      1.00]
inet:gethostbyname_tm/4                                           4     0.00          1  [      0.25]
inet:open_opts/8                                                  1     0.00          1  [      1.00]
inet:open_setopts/5                                               1     0.00          1  [      1.00]
'Elixir.String.Chars':'impl_for!'/1                               5     0.00          1  [      0.20]
'Elixir.Access':get/3                                             1     0.00          1  [      1.00]
lists:keydelete3/3                                                4     0.00          1  [      0.25]
inet_udp:getaddr/1                                                2     0.00          1  [      0.50]
inet_udp:open/2                                                   1     0.00          1  [      1.00]
gen_server:call/3                                                 1     0.00          1  [      1.00]
gen_server:try_dispatch/3                                         3     0.00          1  [      0.33]
'Elixir.String':to_charlist/1                                     1     0.00          1  [      1.00]
'Elixir.List':to_string/1                                         2     0.00          1  [      0.50]
erlang:binary_to_integer/1                                        1     0.00          1  [      1.00]
erlang:binary_to_list/1                                           2     0.00          1  [      0.50]
erlang:open_port/2                                                1     0.00          1  [      1.00]
erlang:integer_to_binary/2                                        3     0.00          1  [      0.33]
erlang:'++'/2                                                    18     0.00          1  [      0.06]
net_kernel:dflag_unicode_io/1                                     2     0.00          1  [      0.50]
'Elixir.Inspect':impl_for/1                                      13     0.00          2  [      0.15]
'Elixir.Inspect.Algebra':flex_glue/3                              8     0.00          2  [      0.25]
'Elixir.Inspect.Algebra':fold_doc/2                              12     0.00          2  [      0.17]
unicode:characters_to_binary/3                                    2     0.00          2  [      1.00]
inet_db:res_option/1                                              4     0.00          2  [      0.50]
inet_db:lookup_socket/1                                           2     0.00          2  [      1.00]
gen_udp:open1/2                                                   1     0.00          2  [      2.00]
gen:call/4                                                        4     0.00          2  [      0.50]
gen:do_for_proc/2                                                 1     0.00          2  [      2.00]
'Elixir.MetricsLogger':connect/3                                  1     0.00          2  [      2.00]
inet_gethost_native:ensure_started/0                              2     0.00          2  [      1.00]
'Elixir.Keyword':get/2                                           21     0.00          2  [      0.10]
'Elixir.Inspect.Tuple':inspect/2                                  1     0.00          2  [      2.00]
os:getenv/1                                                       1     0.00          2  [      2.00]
prim_inet:open/6                                                  1     0.00          2  [      2.00]
prim_inet:type_value_1/3                                          5     0.00          2  [      0.40]
prim_inet:type_value_2/2                                          7     0.00          2  [      0.29]
'Elixir.IO':puts/2                                                2     0.00          2  [      1.00]
inet:gethostbyname_tm/5                                           4     0.00          2  [      0.50]
gen_server:decode_msg/9                                           4     0.00          2  [      0.50]
gen_server:try_handle_call/4                                      1     0.00          2  [      2.00]
gen_server:handle_common_reply/8                                  3     0.00          2  [      0.67]
erlang:iolist_to_binary/1                                         6     0.00          2  [      0.33]
erlang:port_get_data/1                                            2     0.00          2  [      1.00]
'Elixir.String.Chars.Integer':to_string/1                         4     0.00          3  [      0.75]
'Elixir.Inspect.Algebra':concat/2                                32     0.00          3  [      0.09]
'Elixir.Inspect.Integer':inspect/2                                3     0.00          3  [      1.00]
'Elixir.MetricsLogger':timing/3                                   1     0.00          3  [      3.00]
inet_gethost_native:listify/1                                     4     0.00          3  [      0.75]
'Elixir.GridSearchWorker':'-transform_params/1-fun-0-'/2          6     0.00          3  [      0.50]
io:put_chars/2                                                    2     0.00          3  [      1.50]
io:request/3                                                      4     0.00          3  [      0.75]
inet:gethostbyname_tm/3                                           2     0.00          3  [      1.50]
inet:add_opt/4                                                    2     0.00          3  [      1.50]
inet:mod/6                                                        2     0.00          3  [      1.50]
lists:keyfind/3                                                  30     0.00          3  [      0.10]
'Elixir.System':get_env/2                                         1     0.00          3  [      3.00]
'Elixir.GridSearch.Params':new/3                                  1     0.00          4  [      4.00]
io:io_request/2                                                   2     0.00          4  [      2.00]
inet:getaddr/3                                                    2     0.00          4  [      2.00]
inet:getaddrs_tm/3                                                2     0.00          4  [      2.00]
inet:gethostbyname_tm_native/4                                    2     0.00          4  [      2.00]
erlang:integer_to_binary/1                                       10     0.00          4  [      0.40]
'Elixir.Inspect.Algebra':container_doc/6                          4     0.00          5  [      1.25]
inet_db:db_get/1                                                  7     0.00          5  [      0.71]
inet_gethost_native:getit/2                                       2     0.00          5  [      2.50]
inet_gethost_native:parse_address/2                               2     0.00          5  [      2.50]
'Elixir.IO':inspect/3                                             1     0.00          5  [      5.00]
gen_server:handle_msg/6                                           4     0.00          5  [      1.25]
'Elixir.CustomMetricsLogger':connect/2                            1     0.00          5  [      5.00]
