****** Process <22192.235.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                      CALLS        %      TIME  [uS / CALLS]
--------                                                      -----  -------      ----  [----------]
'Elixir.Inspect.Integer':base_to_value/1                         50     0.00         6  [      0.12]
'Elixir.MetricsLogger':increment/2                               10     0.00         6  [      0.60]
'Elixir.GridSearch.Accumulator':new/1                            10     0.00         6  [      0.60]
'Elixir.Enum':zip/1                                              20     0.00         6  [      0.30]
'Elixir.Enum':'-zip_reduce/3-fun-0-'/1                           60     0.00         6  [      0.10]
'Elixir.String.Chars':impl_for/1                                 23     0.00         6  [      0.26]
'Elixir.List':'ascii_printable_guarded?'/2                       32     0.00         6  [      0.19]
'Elixir.GenServer':call/2                                        12     0.00         7  [      0.58]
'Elixir.Inspect.Algebra':nest/3                                  40     0.00         7  [      0.17]
gen:call/4                                                       13     0.00         7  [      0.54]
'Elixir.Stream':'-zip_with/2-fun-1-'/4                           20     0.00         7  [      0.35]
inet:mod/6                                                        2     0.00         7  [      3.50]
lists:member/2                                                   22     0.00         7  [      0.32]
'Elixir.Inspect.Algebra':flex_break/1                            80     0.00         8  [      0.10]
'Elixir.Inspect.Algebra':flex_glue/2                             80     0.00         8  [      0.10]
gen_udp:send/4                                                   20     0.00         8  [      0.40]
inet_gethost_native:getit/4                                      20     0.00         8  [      0.40]
inet:start_timer/1                                               20     0.00         8  [      0.40]
'Elixir.String.Chars':'impl_for!'/1                              23     0.00         8  [      0.35]
net_kernel:dflag_unicode_io/1                                    11     0.00         8  [      0.73]
'Elixir.Inspect.Algebra':'simple?'/1                             90     0.00         9  [      0.10]
'Elixir.Float':floor/2                                           30     0.00        10  [      0.33]
unicode:characters_to_binary_int/3                               11     0.00        10  [      0.91]
inet_gethost_native:gethostbyname/2                              20     0.00        10  [      0.50]
erlang:list_to_tuple/1                                           60     0.00        10  [      0.17]
inet_db:res_optname/1                                            40     0.00        11  [      0.28]
inet_db:gethostname/0                                            20     0.00        11  [      0.55]
inet:stop_timer/1                                                20     0.00        11  [      0.55]
erlang:binary_to_list/1                                          20     0.00        11  [      0.55]
'Elixir.Inspect':'impl_for!'/1                                  130     0.00        12  [      0.09]
'Elixir.Inspect.Algebra':decrement/1                            120     0.00        12  [      0.10]
'Elixir.Inspect.Algebra':'-container_doc/6-fun-0-'/4             80     0.00        12  [      0.15]
gen_server:decode_msg/9                                          13     0.00        12  [      0.92]
'Elixir.GenServer':cast/2                                        21     0.00        13  [      0.62]
inet_db:tolower/1                                                40     0.00        13  [      0.33]
inet_udp:getaddr/1                                               20     0.00        13  [      0.65]
'Elixir.GenServer':do_send/2                                     21     0.00        14  [      0.67]
unicode:characters_to_binary/3                                   11     0.00        14  [      1.27]
prim_inet:open/6                                                  1     0.00        14  [     14.00]
'Elixir.Enum':'-zip_reduce/3-fun-1-'/3                           60     0.00        14  [      0.23]
lists:all_1/2                                                    70     0.00        14  [      0.20]
'Elixir.Inspect':impl_for/1                                     130     0.00        15  [      0.12]
'Elixir.Inspect.Algebra':apply_nesting/3                        150     0.00        15  [      0.10]
'Elixir.Inspect.Opts':default_inspect_fun/0                      10     0.00        15  [      1.50]
erlang:is_list/1                                                 70     0.00        15  [      0.21]
gen_server:handle_common_reply/8                                 12     0.00        16  [      1.33]
erlang:iolist_to_binary/1                                        40     0.00        16  [      0.40]
os:system_time/1                                                 20     0.00        17  [      0.85]
inet_parse:visible_string/1                                     180     0.00        17  [      0.09]
inet:gethostbyname_tm/4                                          40     0.00        17  [      0.42]
'Elixir.GridSearchWorker':transform_params/1                     20     0.00        19  [      0.95]
'Elixir.Enum':'-zip/1-fun-0-'/2                                  60     0.00        19  [      0.32]
'Elixir.IO':puts/2                                               11     0.00        19  [      1.73]
'Elixir.Access':get/3                                            10     0.00        19  [      1.90]
'Elixir.Inspect.Algebra':join/4                                  80     0.00        20  [      0.25]
'Elixir.Keyword':get/2                                          210     0.00        20  [      0.10]
lists:all/2                                                      20     0.00        20  [      1.00]
inet_gethost_native:ensure_started/0                             20     0.00        21  [      1.05]
'Elixir.Inspect.Opts':new/1                                      10     0.00        21  [      2.10]
inet:getaddr_tm/3                                                20     0.00        21  [      1.05]
io:request/3                                                     22     0.00        22  [      1.00]
'Elixir.Inspect.Algebra':fold_doc/2                             120     0.00        23  [      0.19]
inet_db:lookup_socket/1                                          20     0.00        23  [      1.15]
gen_server:handle_msg/6                                          13     0.00        23  [      1.77]
erlang:port_get_data/1                                           20     0.00        23  [      1.15]
'Elixir.Inspect.Algebra':flex_glue/3                             80     0.00        24  [      0.30]
'Elixir.Stream':zip_with/2                                       20     0.00        24  [      1.20]
io:put_chars/2                                                   11     0.00        24  [      2.18]
inet:gethostbyname_tm/5                                          40     0.00        25  [      0.63]
inet_db:res_option/1                                             40     0.00        26  [      0.65]
